PrimaryKey,school,sex,studytime,failures
0,GP,F,2,0
1,GP,F,2,0
2,GP,F,2,0
3,GP,F,3,0
4,GP,F,2,0
7,GP,F,2,0
10,GP,F,2,0
11,GP,F,3,0
15,GP,F,1,0
16,GP,F,3,0
17,GP,F,2,0
24,GP,F,3,0
25,GP,F,1,0
35,GP,F,1,0
38,GP,F,3,0
39,GP,F,1,0
40,GP,F,2,0
44,GP,F,2,1
45,GP,F,2,0
46,GP,F,2,0
49,GP,F,2,0
50,GP,F,2,0
51,GP,F,2,0
53,GP,F,1,0
54,GP,F,1,0
55,GP,F,2,0
56,GP,F,2,0
59,GP,F,2,0
60,GP,F,2,0
61,GP,F,1,0
62,GP,F,2,0
63,GP,F,3,0
64,GP,F,2,0
65,GP,F,2,0
67,GP,F,4,0
68,GP,F,2,0
69,GP,F,4,0
72,GP,F,2,0
74,GP,F,2,0
77,GP,F,4,0
79,GP,F,2,0
82,GP,F,2,0
84,GP,F,2,0
85,GP,F,2,0
86,GP,F,2,0
87,GP,F,3,0
90,GP,F,3,0
91,GP,F,1,0
92,GP,F,2,0
93,GP,F,2,0
95,GP,F,4,0
97,GP,F,2,0
98,GP,F,1,0
99,GP,F,3,0
103,GP,F,2,0
105,GP,F,4,0
106,GP,F,4,0
109,GP,F,3,0
111,GP,F,3,0
112,GP,F,2,1
120,GP,F,2,0
122,GP,F,2,0
124,GP,F,2,0
126,GP,F,2,0
127,GP,F,2,2
130,GP,F,3,0
131,GP,F,2,3
132,GP,F,1,0
133,GP,F,1,0
134,GP,F,1,0
135,GP,F,1,0
137,GP,F,1,1
139,GP,F,3,0
141,GP,F,2,0
143,GP,F,3,0
144,GP,F,1,0
145,GP,F,1,0
147,GP,F,1,0
148,GP,F,1,1
150,GP,F,2,0
153,GP,F,3,0
154,GP,F,1,0
156,GP,F,2,0
157,GP,F,1,0
158,GP,F,2,1
159,GP,F,2,0
160,GP,F,2,0
165,GP,F,3,0
167,GP,F,1,0
170,GP,F,1,3
181,GP,F,2,0
182,GP,F,2,0
183,GP,F,2,0
187,GP,F,2,0
188,GP,F,2,0
190,GP,F,2,0
196,GP,F,2,0
197,GP,F,2,0
